Customer ID,Product Category,Satisfaction Score,Days for Delivery,Customer Service Interaction,Purchase Amount,Customer Age,Gender
CUST0022,Electronics,7.0,8.0,No,89.71,,M
,Books,,3.0,Y,178.39,52.0,Female
CUST0748,Home Goods,8.0,6.0,no,81.71,33.0,Other
CUST0244,Electronics,9.0,7.0,Yes,83.18,46.0,Other
CUST0684,Books,,7.0,Yes,68.8,36.0,Male
CUST0799,Electronics,5.0,1.0,nan,211.03,33.0,Female
CUST0467,Books,6.0,3.0,no,159.02,51.0,nan
CUST0722,Home Goods,5.0,6.0,Y,60.5,28.0,Male
,Electronics,6.0,2.0,N,49.95,65.0,nan
CUST0194,Home Goods,9.0,3.0,Y,168.99,35.0,
CUST0865,,8.0,5.0,no,169.96,63.0,M
CUST0681,Books,4.0,0.0,Y,30.15,32.0,Female
CUST0440,Home Goods,10.0,6.0,yes,150.73,30.0,Male
CUST0410,,9.0,3.0,yes,186.74,16.0,M
CUST0900,Home Goods,4.0,6.0,nan,69.73,29.0,Male
CUST0067,Books,,5.0,Y,41.39,22.0,Prefer not to say
CUST0465,Books,6.0,4.0,N,57.33,9.0,F
CUST0359,Electronics,,3.0,no,13.98,33.0,nan
CUST0432,Clothing,9.0,4.0,N,70.24,26.0,
CUST0895,Books,7.0,2.0,no,94.68,65.0,Female
CUST0119,Books,6.0,5.0,nan,86.13,18.0,Male
CUST0146,Home Goods,4.0,1.0,Yes,88.3,47.0,nan
CUST0181,Electronics,3.0,5.0,No,93.26,38.0,Male
CUST0675,Books,9.0,7.0,yes,157.13,53.0,Other
CUST0049,Clothing,10.0,5.0,N,171.46,47.0,
CUST0735,Clothing,9.0,10.0,yes,166.85,53.0,Other
CUST0200,Home Goods,7.0,6.0,Y,164.33,52.0,M
CUST0298,Home Goods,8.0,6.0,No,66.23,52.0,Female
CUST0940,Clothing,3.0,6.0,nan,111.02,30.0,Male
CUST0453,Clothing,,5.0,Yes,99.99,39.0,F
CUST0557,Books,8.0,6.0,nan,231.68,24.0,F
CUST0007,Electronics,4.0,9.0,N,114.81,19.0,nan
CUST0191,Home Goods,7.0,2.0,no,120.17,21.0,M
CUST0452,Clothing,5.0,,nan,140.99,16.0,Male
CUST0592,Books,2.0,7.0,Y,127.71,28.0,nan
CUST0929,Clothing,7.0,6.0,yes,53.97,53.0,Female
CUST0630,Home Goods,7.0,5.0,yes,188.51,35.0,Female
CUST0232,Books,8.0,3.0,nan,0.0,,nan
CUST0282,Books,,4.0,No,139.0,50.0,F
CUST0814,Books,10.0,6.0,nan,157.56,45.0,Other
CUST0843,Electronics,9.0,1.0,yes,30.73,42.0,nan
CUST0870,Clothing,5.0,6.0,no,191.36,,M
CUST0172,Electronics,6.0,3.0,yes,197.86,11.0,M
CUST0347,,8.0,5.0,no,173.48,10.0,nan
CUST0782,Home Goods,8.0,2.0,N,65.36,53.0,M
CUST0867,Electronics,3.0,2.0,no,125.51,36.0,
CUST0212,Home Goods,5.0,9.0,,87.2,56.0,M
CUST0424,,,7.0,N,84.98,3.0,Prefer not to say
CUST0140,Electronics,3.0,7.0,nan,122.53,64.0,Prefer not to say
CUST0466,Home Goods,6.0,9.0,nan,104.26,21.0,Male
CUST0840,Electronics,7.0,8.0,no,53.59,,F
CUST0168,Home Goods,8.0,3.0,yes,0.0,25.0,Female
CUST0073,Electronics,6.0,8.0,No,149.56,19.0,M
CUST0213,Electronics,6.0,5.0,no,16852.0,40.0,M
CUST0976,,8.0,2.0,,143.09,40.0,Male
CUST0356,Home Goods,4.0,5.0,N,184.42,36.0,F
CUST0053,Home Goods,4.0,6.0,yes,137.7,33.0,M
CUST0966,Electronics,3.0,6.0,nan,93.29,41.0,Male
